Day,median,ci_low,ci_high
1.0,1.3783228647044026,1.2945896452375993,1.4709260368271364
2.0,1.3766709873160092,1.293113327698685,1.4687472298448385
3.0,1.376437506048195,1.2930872503170834,1.4686639785515967
4.0,1.375983883650056,1.2928855326804343,1.4681634397505563
5.0,1.3755946329472715,1.2927231758242121,1.4675808466689646
6.0,1.375271715038347,1.2925705339164824,1.466579476325939
7.0,1.3748720256943878,1.2923871614998304,1.4656031842041795
8.0,1.3741793132415263,1.2920787151508475,1.4647620808243782
9.0,1.372994461902113,1.2918158984652386,1.463461608731939
10.0,1.371844446167739,1.291409293589254,1.4611395792908561
11.0,1.3705737956201527,1.2911712590205409,1.4577451188767043
12.0,1.3688871163337721,1.2906809929338257,1.4522383048067715
13.0,1.3669419384641426,1.2896238630830832,1.4494248150704787
14.0,1.3646757551879234,1.289221663484599,1.443129012009656
15.0,1.3621511805044861,1.2879125362122263,1.4366446992729107
16.0,1.3593594919133898,1.2865022960857977,1.4287169657414085
17.0,1.3556727093190597,1.2851570517240716,1.4202658825205208
18.0,1.350339029813223,1.2827798882014458,1.4119088618715137
19.0,1.3446925434714017,1.2807838656613888,1.401342298107045
20.0,1.3374612578261638,1.2783303307930316,1.388498469904376
21.0,1.3284936323872198,1.275771102864562,1.3765980780411042
22.0,1.3195140551672546,1.2709266741896186,1.3646308045694886
23.0,1.3090117928888052,1.2639240726459273,1.353904417050274
24.0,1.2979618357387532,1.2502257523051026,1.3403728091274545
25.0,1.2853082466578138,1.225205179080725,1.327989036535873
26.0,1.272875796678226,1.197396320482013,1.3156300589856957
27.0,1.2588383768223301,1.1664674476640717,1.3042629791348537
28.0,1.2450837611160541,1.137347126051175,1.2941969831093783
29.0,1.2290219853847488,1.1068587716484255,1.2814960459710598
30.0,1.2106559517574769,1.0810121357540765,1.2723784694423992
31.0,1.1922663937682194,1.059725583130708,1.262604959970806
32.0,1.1720487229777552,1.0415023351847372,1.2521587655040305
33.0,1.1516843727350041,1.0299035184386858,1.2415856730050303
34.0,1.1320042091576608,1.0201880625840778,1.2302845434789416
35.0,1.112961565180512,1.013096829687937,1.2198806802949056
36.0,1.0940670530729648,1.0097031601203443,1.2083155678150936
37.0,1.077749003145494,1.0074962300545518,1.1975217410344925
38.0,1.062922286872602,1.0058800047961083,1.1840906867485066
39.0,1.0500770004509743,1.0057576655355398,1.1707631595696726
40.0,1.0399790753989215,1.0049482733483412,1.1569809871880714
41.0,1.0321145746459792,1.004367012556651,1.1390590933124158
42.0,1.0273708944405002,1.003973115675785,1.1253842318203453
43.0,1.0231089012087424,1.003576146906986,1.1113490133924637
44.0,1.0203056695361419,1.0037074431975805,1.0997823278409082
45.0,1.0183468620873106,1.0034673403844672,1.0904247667213653
46.0,1.0164561276758335,1.0031508447861084,1.0784568917595945
47.0,1.0153527188104585,1.0033023245265276,1.0658462386820238
48.0,1.0139696352138157,1.0029462654750003,1.05656711585932
49.0,1.0129222069244632,1.0031860427212136,1.0490409099586806
50.0,1.0122246220798545,1.0031505836456895,1.0412839364254183
51.0,1.011763464473293,1.003071005737058,1.0374816411479448
52.0,1.0113874981579571,1.0025744103716352,1.0344370570294041
53.0,1.0113107814008875,1.0026609246246347,1.0324116572359396
54.0,1.0110068564607009,1.0022958205781665,1.0297088435465183
55.0,1.0106970462173752,1.0027771325261736,1.0281455128349395
56.0,1.010471185149322,1.0027789267372509,1.0257183013255384
57.0,1.0103305807773155,1.002236665793338,1.0248648675819059
58.0,1.010079531224598,1.0022508608277376,1.0235052970083083
59.0,1.0100603670645296,1.0021978057030574,1.022437949470445
