Day,median,ci_low,ci_high,truth
1.0,2.0,2.0,2.0,2.0
2.0,2.0,2.0,3.0,6.0
3.0,3.0,2.0,3.0,11.0
4.0,3.0,2.0,4.0,14.0
5.0,4.0,2.5,5.0,17.0
6.0,4.0,3.0,6.0,23.0
7.0,5.0,3.0,7.5,31.0
8.0,6.0,4.0,10.0,38.0
9.0,7.5,5.0,11.512499999999989,43.0
10.0,9.0,5.0,14.5,46.0
11.0,11.0,6.0,18.0,74.0
12.0,13.5,7.0,22.5,91.0
13.0,16.0,9.0,27.5,119.0
14.0,19.5,10.4875,34.5,138.0
15.0,23.5,12.4875,42.5,193.0
16.0,28.5,14.0,52.5,255.0
17.0,34.0,17.0,64.01249999999999,257.0
18.0,41.5,19.5,78.5,324.0
19.0,50.25,23.0,97.5,372.0
20.0,59.75,28.0,120.0,412.0
21.0,71.5,32.4875,143.5125,422.0
22.0,85.5,37.5,171.5,407.0
23.0,101.5,43.5,203.02499999999998,411.0
24.0,119.0,51.487500000000004,240.5,450.0
25.0,140.25,60.4875,272.525,408.0
26.0,163.5,71.5,308.525,394.0
27.0,189.5,84.45,342.525,371.0
28.0,214.5,96.4875,373.0,416.0
29.0,244.0,114.0,389.0125,425.0
30.0,271.75,131.475,398.0,388.0
31.0,299.25,148.5,397.0,387.0
32.0,322.75,166.4,396.0,369.0
33.0,340.0,190.4625,393.5,386.0
34.0,347.5,208.5,391.0125,365.0
35.0,348.5,234.475,385.5,328.0
36.0,346.0,253.45000000000002,381.5,314.0
37.0,342.0,273.97499999999997,376.0125,335.0
38.0,335.5,281.97499999999997,367.5,298.0
39.0,328.75,279.4875,362.5,323.0
40.0,321.5,270.4875,352.5125,300.0
41.0,314.0,263.975,346.5,280.0
42.0,304.5,252.975,340.0,285.0
43.0,296.0,249.4875,334.5125,273.0
44.0,288.5,243.5,328.5,254.0
45.0,281.0,241.98749999999998,321.0125,253.0
46.0,275.5,239.9875,316.5,211.0
47.0,271.0,239.0,311.5,209.0
48.0,268.5,239.0,303.5,232.0
49.0,265.0,239.9875,300.5125,203.0
50.0,264.0,241.98749999999998,296.5125,217.0
51.0,263.5,243.5,292.0125,199.0
52.0,264.0,245.5,289.0125,206.0
53.0,265.0,247.0,289.0,217.0
54.0,267.0,248.0,288.0125,182.0
55.0,268.5,248.0,291.5,173.0
56.0,270.5,249.0,294.0125,176.0
57.0,273.0,252.0,298.5,154.0
58.0,275.5,252.5,302.5,166.0
59.0,278.0,254.5,308.0125,157.0
