Day,median,ci_low,ci_high
1.0,0.0,0.0,0.0
2.0,0.0003128154574763564,0.00015044103281625364,0.0004076063134298091
3.0,0.000612098384423998,0.0004361275642006474,0.0008189976244055347
4.0,0.0010162908267016824,0.0007402175364655067,0.0013505643885930647
5.0,0.0015160768163750837,0.0011114976971550602,0.0020493850285993468
6.0,0.002131631025242775,0.0015197993946304959,0.00291394105137767
7.0,0.0028934595262165297,0.0020307000431736303,0.004040201246424315
8.0,0.003836121431835343,0.0026164462722081147,0.005547023310594265
9.0,0.0050488224894532086,0.0033391824724576494,0.007483122396939132
10.0,0.006585230128301894,0.0042230644777543885,0.009913671078479132
11.0,0.008456114256789493,0.005366608352036686,0.013177766338123518
12.0,0.010873055807819193,0.006736391357660958,0.01737106114610271
13.0,0.013945039949938287,0.008298568039131643,0.022834696344820545
14.0,0.01779698861462592,0.010253575681623876,0.029730759513481857
15.0,0.022495142162583665,0.012687957983708817,0.03820937395601949
16.0,0.02842576999564772,0.01572948712913599,0.04944099301131467
17.0,0.03593757971442804,0.019636527446213917,0.06347626685127629
18.0,0.045406047635058205,0.02445559623821115,0.08058399859093215
19.0,0.05678724118884382,0.030242052900575973,0.10166243785416915
20.0,0.07060852208920534,0.03711629243959285,0.12670583148493628
21.0,0.08744838207965558,0.04511399783846075,0.15570743658809136
22.0,0.1073368515829928,0.05434354818509397,0.18903483635311102
23.0,0.13027969840663647,0.06603334382056643,0.2270465963475376
24.0,0.15720568759377776,0.07928316074161484,0.26615416348534743
25.0,0.18627893791658087,0.09556570796895207,0.3089071347559345
26.0,0.21779210644051805,0.11436086963195947,0.3515118550491184
27.0,0.2516926439821412,0.1338541172549721,0.39380506155909156
28.0,0.2861759711981074,0.1585333902623969,0.4312350667364642
29.0,0.32135007067266874,0.18475506585833662,0.4632376704417697
30.0,0.3536756362533934,0.21117524914850996,0.4931467395207919
31.0,0.3842644357758017,0.23998080343092815,0.518709113348979
32.0,0.4141658839677011,0.2681315470996954,0.5411331458001446
33.0,0.440053510020851,0.2944710186845951,0.5582748911088731
34.0,0.4630832609749458,0.3171021140538032,0.5739844596719744
35.0,0.48208874367863275,0.3461138068518441,0.584472671398498
36.0,0.49760165505804943,0.36599070649614773,0.5918463977206547
37.0,0.5114627597881638,0.3842201127406525,0.5968470360238024
38.0,0.521810741174352,0.4039889291153077,0.6037678985774793
39.0,0.5293640330248213,0.4204135349475955,0.6095272422231177
40.0,0.5347113824286842,0.43257020438464217,0.6160325168391353
41.0,0.5384727646891037,0.4430391010822073,0.6201116658467514
42.0,0.5414672523212285,0.4513103522283301,0.6235264761968051
43.0,0.5423827143473428,0.4593043312084226,0.6229147843957739
44.0,0.5424413214182631,0.46078399361770794,0.6239433510182816
45.0,0.5418566828369726,0.4615313565878042,0.624581244111973
46.0,0.5405683110547312,0.4594959063217654,0.6245888515154657
47.0,0.5387803983729385,0.4576980981844929,0.6241065801992287
48.0,0.5355294307850688,0.4559850536970821,0.6219981887631064
49.0,0.5320691506091096,0.4531576668199852,0.6189084843197814
50.0,0.5290147954471639,0.45042322091347936,0.6159479045450325
51.0,0.5246025095577321,0.4461010602043996,0.6126970109629113
52.0,0.5203519620807757,0.4418310623302904,0.6091826039506052
53.0,0.5162773518959725,0.4374631984454252,0.6056478106306133
54.0,0.5117617562505693,0.4332647897136518,0.6017299734207829
55.0,0.5075248407499537,0.42810900202866614,0.5975889900627996
56.0,0.5029895065409722,0.42420363728930827,0.5942118742005279
57.0,0.4985237483602112,0.4204344681795066,0.5895639162271467
58.0,0.49437725276547895,0.41618038063703156,0.5857379880010121
59.0,0.4902148863710114,0.41313073981391796,0.5808453982582678
