Day,median,ci_low,ci_high
1.0,1.20280847451235,1.126606944266579,1.2879600915427323
2.0,1.2021467590068888,1.1262119104420407,1.2869483214717004
3.0,1.2020378208201667,1.1263245015884218,1.2866419900186106
4.0,1.202046889373785,1.1263527684129204,1.2863281309943158
5.0,1.2019538196317359,1.1263975427344497,1.2859470624411535
6.0,1.2018405315911278,1.1264491082191213,1.2854925943868885
7.0,1.2016921293601492,1.1264318277998135,1.2848763438193158
8.0,1.201765140019587,1.1265012036779438,1.2845606679068853
9.0,1.2015398021198214,1.1266296596366026,1.2840406430519826
10.0,1.2014549338273537,1.1268273954422745,1.2826664408268869
11.0,1.20149341451739,1.126873514128665,1.2821929810425048
12.0,1.2012071410725422,1.1268735193406123,1.2813359710646122
13.0,1.2012306581126797,1.1268735193406123,1.280317506762859
14.0,1.200940403830713,1.1268735193406123,1.2793286541457234
15.0,1.2006408210114619,1.1268735193406123,1.278140774442272
16.0,1.2005167051859549,1.1268735193406123,1.2766638725418644
17.0,1.2005317625473177,1.1268735193406123,1.2747606058881438
18.0,1.2003210834520237,1.1268735193406123,1.2742930750409642
19.0,1.199923766981882,1.1268735193406123,1.271088218159175
20.0,1.1997370336274136,1.1268735193406123,1.2680344105258807
21.0,1.199280040348532,1.1268735193406123,1.2643205340010646
22.0,1.1992147482040787,1.1268735193406123,1.263413986525308
23.0,1.198753825162674,1.1268735193406123,1.2601310483949173
24.0,1.1982563714553671,1.1268752960841093,1.2563725114924322
25.0,1.1978115766067279,1.1268770053216082,1.251743437204892
26.0,1.197133708998499,1.1268735193406123,1.2468944830195394
27.0,1.1967974535154084,1.1268757063108814,1.243884598364028
28.0,1.1957703748396618,1.1268751842876228,1.2392662254968427
29.0,1.1940589263592276,1.1268792875021671,1.236260222417652
30.0,1.1925355105784345,1.1268806605607204,1.2332970540137234
31.0,1.1903246330928081,1.1265010191258988,1.2311798499805866
32.0,1.1890993278338957,1.1265010191258988,1.2288735437825484
33.0,1.1862826022287853,1.1265010191258988,1.2261669865582945
34.0,1.183280599832179,1.126178967535774,1.2239298659980336
35.0,1.1803920039400462,1.1250560917076804,1.2219126308885122
36.0,1.1778012798215456,1.123021226136047,1.2197343723041913
37.0,1.1755525330830303,1.1207623620952787,1.2187632117739893
38.0,1.1732743177946854,1.114170507727782,1.2166530341226867
39.0,1.1709379596855483,1.1047901019748563,1.2150161807054287
40.0,1.1681001802221949,1.0984806041770965,1.2137955063218528
41.0,1.1655941196908917,1.0930095803799678,1.213005239896797
42.0,1.1631858289088992,1.0871987669221337,1.2121107024472686
43.0,1.1605481022733661,1.0811068346345236,1.2111380560680285
44.0,1.1581657411999533,1.0723466829453125,1.2105438176216023
45.0,1.1556131915363856,1.0642777525806566,1.2101158454839305
