Day,median,ci_low,ci_high
1.0,0.0,0.0,0.0
2.0,0.000585924231961743,0.0002655620202427267,0.0007615715001399848
3.0,0.001093356544812435,0.0007177752988775016,0.001532402971605387
4.0,0.001770228235277449,0.00122841794269795,0.002466690826279978
5.0,0.002611551824373226,0.0017786729720769626,0.003695988425482961
6.0,0.0036450245321220653,0.002438087723667759,0.005315162236718389
7.0,0.005013559167618531,0.0032614615127225187,0.007516656342853127
8.0,0.006807731621702423,0.004299833544101591,0.010225990701862872
9.0,0.00909931671225106,0.005710211680038213,0.01395452291239189
10.0,0.012112525992755752,0.007280862743791536,0.018816340916361307
11.0,0.016114439698837912,0.00945489175044738,0.025662921489613005
12.0,0.021220431762776604,0.012137080992948716,0.0350618223215115
13.0,0.027835557632051727,0.015447804705880324,0.0472992138587171
14.0,0.03639486479997395,0.02046101292939464,0.06314454460725911
15.0,0.047236311089872224,0.026375545538786155,0.08248757786897142
16.0,0.06132633796707812,0.03271830740781345,0.10660056615468588
17.0,0.07822712234095153,0.04105473644786719,0.1385465813953612
18.0,0.09963830387306491,0.05285694103709007,0.17525543221892506
19.0,0.12402573074286033,0.06478635986164967,0.21662250459210677
20.0,0.15375431378586973,0.08029139880483661,0.2607738398424989
21.0,0.18720603585883136,0.09658742668579583,0.3067007705645721
22.0,0.2241643245239645,0.11896819135346359,0.3530102154049296
23.0,0.26302113228065865,0.14612838695229644,0.39458553190107726
24.0,0.3036996496409501,0.1731479496111299,0.437447014996242
25.0,0.3429238286275013,0.20347311277291796,0.47088367152397714
26.0,0.3796964864744652,0.23313902265311728,0.5025551262985931
27.0,0.41387274844092803,0.263828184959717,0.5262238490805486
28.0,0.44519335497711027,0.2974149779946732,0.5476380938277899
29.0,0.47140762455853824,0.33519052657779613,0.5657778940592785
30.0,0.4928151110212658,0.364886242087185,0.5814962753499278
31.0,0.5112759708469214,0.3881910658950504,0.5956934679797035
32.0,0.5263215359724904,0.4126299443121727,0.6079430160228746
33.0,0.538394185371222,0.4318145992245941,0.6167822695129942
34.0,0.5475680735272097,0.4499825516767434,0.6262269736104779
35.0,0.5552706954639459,0.4616043439365245,0.6334469044272775
36.0,0.560571595637928,0.47116762545307733,0.6371897925350438
37.0,0.5651564640197152,0.4786975589111352,0.6410911795928032
38.0,0.5673795048386556,0.48498371620143776,0.6430631841188686
39.0,0.5694601229212332,0.4894623302176706,0.6463419293574799
40.0,0.5708311193259052,0.49285107866966266,0.6471321721274157
41.0,0.5714085967333151,0.4952313275912111,0.6481578232918584
42.0,0.5716802271077767,0.4978025607136057,0.6483863476960405
43.0,0.5716436044584089,0.4969636495489692,0.6493391639355205
44.0,0.5711697456375524,0.4957430634332049,0.647802550127051
45.0,0.5703678690399656,0.4936853488854763,0.6471611760918967
46.0,0.5688756411910774,0.4921250154438168,0.6466721921316012
47.0,0.5676473216760438,0.49114865322677165,0.6461231438068918
48.0,0.566099602547633,0.48965694916795743,0.6456905908272119
49.0,0.5640991404319701,0.4875621469401417,0.6435970108895641
50.0,0.5624577023434657,0.48605746769276553,0.6424151874983561
51.0,0.5602085159481955,0.48422481541581375,0.6414911213955623
52.0,0.5579872515168628,0.482132252624508,0.6398681544509935
53.0,0.556083123651433,0.48052768082104924,0.6384468996817467
54.0,0.554010512714303,0.478978106306517,0.6365400937971548
55.0,0.5515588510224448,0.4765206505948641,0.6350238094322406
56.0,0.5495904716787273,0.47453703917316176,0.6324682153202618
57.0,0.5474363798754975,0.47258721870669423,0.6311096203769823
58.0,0.5460503991322097,0.47091279574486616,0.6294751249832173
59.0,0.5441600604841386,0.4688471291019239,0.627451008250543
