Day,median,ci_low,ci_high
1.0,0.0,0.0,0.0
2.0,0.001023983104244841,0.0006217676898015667,0.001442688908448114
3.0,0.0010360998252488263,0.0005991684856456625,0.0018646000830729534
4.0,0.0010621957886863265,0.0005207419193930474,0.0021108446959110403
5.0,0.001099115217543023,0.00047822688133149216,0.0021791230697083843
6.0,0.0011760756363634606,0.000413032925751719,0.002593786725344691
7.0,0.0012764464390375707,0.00039675840507856773,0.0027991750945725946
8.0,0.0013397398048434206,0.00038368963561998535,0.0032144304749582684
9.0,0.0014417263270870562,0.0003624034857239583,0.003616112995195642
10.0,0.0015018604316811013,0.0003241010877604811,0.004168655656593004
11.0,0.0015749285924734902,0.0002902766228654319,0.004616244675989811
12.0,0.001650227468937393,0.00020908167723199535,0.005363489764242767
13.0,0.00170607284521046,0.0,0.005697410045884147
14.0,0.0018052177056726293,0.0,0.006738264155183901
15.0,0.0019275364399364836,0.0,0.0075260468496629864
16.0,0.002055076050656357,0.0,0.008769057499558983
17.0,0.002155303970093586,0.0,0.010008916852179943
18.0,0.0023288948626252193,0.0,0.011488522222180757
19.0,0.0024604130017762404,0.0,0.013142743659810363
20.0,0.002629606295211445,0.0,0.014865555242812217
21.0,0.002834946442062447,0.0,0.017148466764184835
22.0,0.0029258846654062476,0.0,0.020174345825978234
23.0,0.0031592938128469916,0.0,0.023000922849687102
24.0,0.0035975531019128426,0.0,0.026024180555680274
25.0,0.0037182451879238243,0.0,0.02936354499071569
26.0,0.0042571251276307676,0.0,0.03240969460706511
27.0,0.0045253160641621215,0.0,0.03783370293308244
28.0,0.004941519475043343,0.0,0.04153367874906465
29.0,0.005445586811136244,0.0,0.04793653383998066
30.0,0.006164380330099362,0.0,0.05590270645149481
31.0,0.006566556188906586,0.0,0.05983424928972154
32.0,0.007417136658889656,0.0,0.06500044978696609
33.0,0.00777811861313582,0.0,0.07156024941980021
34.0,0.00860529699006335,0.0,0.07836674243411519
35.0,0.009208732209925435,0.0,0.08846140684893794
36.0,0.010405639011627332,0.0,0.09710302582707103
37.0,0.011011246408794279,0.0,0.10286904636598225
38.0,0.012532846259285801,0.0,0.11069379356831542
39.0,0.013239221329530232,0.0,0.118732221138207
40.0,0.014624948874221194,0.0,0.1258500684750721
41.0,0.016488953572376647,0.0,0.13458414005909994
42.0,0.01836676468545695,0.0,0.14126797576351624
43.0,0.02128437980699785,0.0,0.14881515857962346
44.0,0.022612364668718937,0.0,0.1561362168029931
45.0,0.024194938051808862,0.0,0.15800290320012375
46.0,0.0259953593088105,0.0,0.16552550552495
47.0,0.028208381956044054,0.0,0.1703823883375015
48.0,0.030813845602148893,0.0,0.17396184405705825
49.0,0.0338926564195991,0.0,0.17644777703351147
50.0,0.0369481128256208,0.0,0.1802297786256647
51.0,0.03989505455428333,0.0,0.18462617556142952
52.0,0.043166392728414965,0.0,0.18609952745531316
53.0,0.045685304025495976,0.0,0.18908200275344966
54.0,0.04977814319825835,0.0,0.19237401681744168
55.0,0.055710221048621056,0.0,0.1943058065768779
56.0,0.05823012022524421,0.0,0.19557249445072863
57.0,0.06108565209358144,0.0,0.19690119056163563
58.0,0.06570053436237203,0.0,0.1981334532166452
59.0,0.07054197973625323,0.0,0.19960377701205984
