day,mean_alarm
1.0,0.0
2.0,0.001736970033893942
3.0,0.002496593800018293
4.0,0.004194580896427924
5.0,0.005799884136469568
6.0,0.009001727160929323
7.0,0.013570238852846866
8.0,0.021730464806813714
9.0,0.03152021655470218
10.0,0.04671441813327427
11.0,0.06651591171603428
12.0,0.09501086639337483
13.0,0.13189652697016713
14.0,0.17696177009690817
15.0,0.2275700837610426
16.0,0.2815161557907948
17.0,0.3336328844340542
18.0,0.384828815583867
19.0,0.42473186114472694
20.0,0.4623824370070163
21.0,0.4928002186842166
22.0,0.516763862533588
23.0,0.5374519382347434
24.0,0.5505381277183954
25.0,0.5698060461732017
26.0,0.576127167938005
27.0,0.588343801028018
28.0,0.5921456546036715
29.0,0.6000767742340649
30.0,0.6017626560602138
31.0,0.6062088220538322
32.0,0.6072225260557701
33.0,0.6133207402028807
34.0,0.6090618831829397
35.0,0.614876005586465
36.0,0.6115286997655325
37.0,0.6132865680937082
38.0,0.6135382623537092
39.0,0.6111549493752886
40.0,0.6131051296495829
41.0,0.61123274329115
42.0,0.6099890060957999
43.0,0.6082225511700525
44.0,0.6086574626345089
45.0,0.6069943405009559
46.0,0.6027367405104871
47.0,0.6053232667273827
48.0,0.6020841209286314
49.0,0.600283822947005
50.0,0.5985054613903569
