day,mean_alarm
1.0,0.0
2.0,0.0020545148855083462
3.0,0.004326893574969637
4.0,0.007441557950110772
5.0,0.011844281109259419
6.0,0.01820237421662758
7.0,0.027916528554154017
8.0,0.0410301717275751
9.0,0.061273538434638876
10.0,0.0874644805611378
11.0,0.1249383689436259
12.0,0.1720278451912791
13.0,0.2289440139937501
14.0,0.29238835273707464
15.0,0.35812367905474685
16.0,0.4217253316958608
17.0,0.47770566035377715
18.0,0.525578167718907
19.0,0.564854297635417
20.0,0.5953742304617464
21.0,0.6197941926282744
22.0,0.6369828391404165
23.0,0.650178521924147
24.0,0.6593402662097442
25.0,0.6658614378350355
26.0,0.6707722948792103
27.0,0.6738913293277597
28.0,0.676422205931901
29.0,0.6777506346734647
30.0,0.6785270554111303
31.0,0.6781292045944147
32.0,0.6779202346100913
33.0,0.6772871733457244
34.0,0.6765781677041065
35.0,0.6751846313982404
36.0,0.6731651895437014
37.0,0.6715610657831922
38.0,0.6692809659456225
39.0,0.6671360861790652
40.0,0.6650136411270529
41.0,0.6631939286595117
42.0,0.6611837191830129
43.0,0.658978302154067
44.0,0.6576949857689721
45.0,0.655725969179858
46.0,0.6539796655137016
47.0,0.6528626684687431
48.0,0.6516290204220077
49.0,0.6503184399471832
50.0,0.6490032781880537
