day,mean_alarm
1.0,0.0
2.0,0.0019524848228233637
3.0,0.0041175391200134245
4.0,0.007029802642226557
5.0,0.011140552512118202
6.0,0.01746797655274071
7.0,0.026552764955127123
8.0,0.038914512447476665
9.0,0.05784410092880345
10.0,0.08421989471585464
11.0,0.11673335182533698
12.0,0.16068771127979373
13.0,0.21656672466093344
14.0,0.27957804295948746
15.0,0.3446565433337533
16.0,0.4098799443980131
17.0,0.46863964712063433
18.0,0.5206855447916926
19.0,0.5617843307763083
20.0,0.5948504993188547
21.0,0.6213581585445851
22.0,0.6425121133996681
23.0,0.6586321063741069
24.0,0.6707336502617786
25.0,0.6807771053570165
26.0,0.6869340405006742
27.0,0.6907341562118205
28.0,0.694286794795205
29.0,0.6963731383003098
30.0,0.69784766938762
31.0,0.6982225565960593
32.0,0.6984047881761613
33.0,0.6987182896030515
34.0,0.697458170101765
35.0,0.696251512838137
36.0,0.69491970234499
37.0,0.6931288193674358
38.0,0.6910719936278775
39.0,0.6894187989873706
40.0,0.6865880530435037
41.0,0.6840798756187
42.0,0.6828180167414749
43.0,0.6806820957550558
44.0,0.6783269047023263
45.0,0.6763394818911579
46.0,0.6746207129890861
47.0,0.6730239805608584
48.0,0.6714555591722131
49.0,0.669180630003033
50.0,0.667596489037588
