day,mean_alarm
1.0,0.0
2.0,0.0016234236779503531
3.0,0.0022076102873194448
4.0,0.002942321732942016
5.0,0.0038217227186619794
6.0,0.004993459299165032
7.0,0.006601469081880385
8.0,0.008878752355533658
9.0,0.011961769559663216
10.0,0.01619576947469013
11.0,0.02185842601911215
12.0,0.0299341776128604
13.0,0.04106260348422842
14.0,0.05603213985964963
15.0,0.07613617552038096
16.0,0.10895455510922267
17.0,0.1528657910328047
18.0,0.2083400391196081
19.0,0.27375510028084793
20.0,0.34626081848636625
21.0,0.42030938781092225
22.0,0.4904564561507502
23.0,0.5528274843303176
24.0,0.6053066460470312
25.0,0.6481238231635553
26.0,0.6814658104747011
27.0,0.7069857700003708
28.0,0.7256679939100437
29.0,0.738238822269168
30.0,0.7451651254715196
31.0,0.746214988990293
32.0,0.7412513986448374
33.0,0.729790052607014
34.0,0.7115868424830545
35.0,0.6870985912870391
36.0,0.6576331298445943
37.0,0.6252969416465164
38.0,0.5930642285100907
39.0,0.5634069699318035
40.0,0.5388132968583195
41.0,0.520724142635448
42.0,0.5100234003094094
43.0,0.5064499294133784
44.0,0.5092462123573605
45.0,0.5173840445754175
46.0,0.5289609279850269
47.0,0.5431398908961388
48.0,0.5581087257902269
49.0,0.5727075929740106
50.0,0.5863038416776407
